experiment,architecture,security,topology,mode,attempt_id,attempt_key,round_ref,global_accuracy,global_loss,round_duration_sec,local_gateway_count,local_train_events,local_accuracy_avg,local_loss_avg,local_samples_total,fog_fedavg_events,fog_accuracy_avg,fog_loss_avg,edge_rpi_events,edge_rpi_p95_ms,edge_rpi_avg_wire_bytes,rpi_pc_events,rpi_pc_p95_ms,rpi_pc_avg_wire_bytes,pc_rpi_events,pc_rpi_p95_ms,pc_rpi_avg_wire_bytes,total_transport_events,total_transport_p95_ms
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,9,1.0,0.069642,59.0,2.0,2.0,1.0,0.06964236171916124,60.0,,,,60.0,4.544949999999999,233.26666666666668,2,12.75845,4952.0,1,12.148,4818.0,69,33.235399999999984
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,10,0.933333,0.137112,59.0,2.0,2.0,0.9333333373069763,0.137112335069105,60.0,,,,60.0,4.485,232.33333333333334,2,13.48625,4966.0,1,10.798,4798.0,69,33.79519999999998
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,11,1.0,0.047108,59.0,2.0,2.0,1.0,0.04710814543068405,60.0,,,,60.0,4.292599999999999,232.53333333333333,2,10.929450000000001,4948.0,1,11.641,4818.0,69,33.3144
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,12,0.983333,0.041482,59.0,2.0,2.0,0.9833333194255829,0.04148189688567065,60.0,,,,60.0,4.4879,232.53333333333333,2,18.312,4972.0,1,14.616,4822.0,69,33.892399999999995
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,13,1.0,0.01963,59.0,2.0,2.0,1.0,0.019629792775958752,60.0,,,,60.0,4.510400000000001,232.6,2,17.71205,4956.0,1,12.812,4814.0,69,33.1198
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,14,0.966667,0.062421,61.0,2.0,2.0,0.9666666686534882,0.062421353883109945,60.0,,,,60.0,4.545,233.2,2,21.6571,4972.0,1,28.891,4818.0,69,32.541799999999995
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,15,0.983333,0.064158,58.0,2.0,2.0,0.9833333194255829,0.06415762030519541,60.0,,,,60.0,4.78415,233.26666666666668,2,10.7898,4952.0,1,11.605,4810.0,69,34.63939999999999
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,16,0.983333,0.057022,59.0,2.0,2.0,0.9833333194255829,0.05702240930986585,60.0,,,,60.0,4.69355,232.06666666666666,2,17.95125,4958.0,1,13.935,4814.0,69,34.160599999999974
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,17,0.983333,0.052292,59.0,2.0,2.0,0.9833333194255829,0.0522920137736946,60.0,,,,60.0,4.5745499999999995,233.2,2,11.15185,4968.0,1,15.424,4818.0,69,34.458999999999975
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,18,0.966667,0.056289,59.0,2.0,2.0,0.9666666686534882,0.0562889784050639,60.0,,,,60.0,4.455749999999999,233.4,2,11.31735,4958.0,1,11.535,4810.0,69,32.66559999999998
