variant,model,security,topology,attempt_id,source_scope,device_suffix,channel,operation,events,avg_ms,median_ms,p95_ms,max_ms,avg_pt_bytes,avg_enc_bytes,avg_overhead_bytes,avg_overhead_ratio_pct,avg_expansion_ratio
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,gateway_transport,gateway_A,ESP32->RPi,decrypt,603.0,2.9976318407960196,3.602,4.605,5.723,112.45936981757878,228.08457711442787,115.62520729684908,103.42889080401092,2.034288908040109
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,gateway_transport,gateway_B,ESP32->RPi,decrypt,628.0,3.3504617834394907,3.9705,4.4772,6.447,116.87898089171975,234.0764331210191,117.19745222929936,100.31539073316131,2.003153907331613
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,gateway_transport,gateway_A,PC->RPi,decrypt,20.0,33.93095,31.956,37.06655000000003,70.992,3551.65,4818.6,1266.95,35.67215230599521,1.356721523059952
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,gateway_transport,gateway_B,PC->RPi,decrypt,20.0,64.32745,72.231,96.68180000000001,99.148,3551.65,4818.6,1266.95,35.67215230599521,1.356721523059952
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,gateway_transport,gateway_A,RPi->ESP32,encrypt,20.0,33.7215,33.104,37.520250000000004,41.895,3551.65,4818.6,1266.95,35.67215230599521,1.356721523059952
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,gateway_transport,gateway_B,RPi->ESP32,encrypt,20.0,38.483549999999994,34.3825,56.6081,57.731,3551.65,4818.6,1266.95,35.67215230599521,1.356721523059952
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,gateway_transport,gateway_A,RPi->PC,encrypt,20.0,38.438,36.301500000000004,43.09535000000003,84.408,3657.75,4960.0,1302.25,35.6025306602935,1.356025306602935
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,gateway_transport,gateway_B,RPi->PC,encrypt,20.0,37.024699999999996,35.858999999999995,41.8344,44.825,3647.1,4946.2,1299.1,35.62010565074749,1.3562010565074751
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,server_transport,Asus,PC->RPi,encrypt,20.0,13.735949999999997,12.4345,22.066150000000004,25.641,3551.65,4818.6,1266.95,35.67215230599521,1.356721523059952
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,server_transport,Asus,RPi->PC,decrypt,40.0,15.321924999999998,12.2445,31.396699999999985,44.317,3652.425,4969.1,1316.675,36.04938772678162,1.3604938772678161
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,2,gateway_transport,gateway_A,ESP32->RPi,decrypt,601.0,2.9345241264559068,3.56,4.446,5.768,115.13477537437603,231.70881863560732,116.57404326123128,101.57291728816831,2.015729172881683
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,2,gateway_transport,gateway_B,ESP32->RPi,decrypt,601.0,3.5058053244592347,4.021,4.741,8.769,115.12645590682196,231.7820299500832,116.65557404326123,101.65757340154417,2.0165757340154418
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,2,gateway_transport,gateway_A,PC->RPi,decrypt,20.0,32.78189999999999,32.657,35.61125,35.749,3552.5,4819.8,1267.3,35.67352574893584,1.3567352574893583
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,2,gateway_transport,gateway_B,PC->RPi,decrypt,20.0,36.147149999999996,33.3575,39.056800000000045,93.165,3552.5,4819.8,1267.3,35.67352574893584,1.3567352574893583
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,2,gateway_transport,gateway_A,RPi->ESP32,encrypt,20.0,34.11975,34.2705,36.408750000000005,36.613,3552.5,4819.8,1267.3,35.67352574893584,1.3567352574893583
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,2,gateway_transport,gateway_B,RPi->ESP32,encrypt,20.0,33.8705,33.812,35.7394,38.559,3552.5,4819.8,1267.3,35.67352574893584,1.3567352574893583
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,2,gateway_transport,gateway_A,RPi->PC,encrypt,20.0,35.92129999999999,36.031,39.38715,40.53,3656.65,4959.0,1302.35,35.61596715446019,1.3561596715446018
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,2,gateway_transport,gateway_B,RPi->PC,encrypt,20.0,36.08815,36.218999999999994,39.28680000000001,43.292,3655.8,4957.4,1301.6,35.603721028593526,1.356037210285935
